JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Puskesmas,Langsa Kota,"9,795,023","447,573",Aceh,Kota Langsa,Beroperasi,,,invalid_coords
Puskesmas,Kutambaru,"9,783,561","348,513",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Ie Alang,"9,549,533","541,032",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Lampupok,"954,421","543,691",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Ujong Rimba,"956,417","492,965",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Darussalam,"9,539,761","558,893",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Lampisang,"9,527,244","55,143",Aceh,Aceh Besar,Beroperasi,,Тугач,ok
Puskesmas,Tamiang Hulu,"97,859","416,846",Aceh,Aceh Tamiang,Beroperasi,,,invalid_coords
Puskesmas,Tanoh Alas,"9,797,339","328,405",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Singkohor,"9,795,854","252,812",Aceh,Aceh Singkil,Beroperasi,,,invalid_coords
Puskesmas,Juli-2,"9,667,098","514,378",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Kluet Selatan,"9,732,345","305,696",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Ladang Tuha,"9,728,007","319,417",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Lhok Bengkuang,"9,719,714","325,868",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Johan Pahlawan,"96,133","4,147",Aceh,Aceh Barat,Beroperasi,,,no_data
Puskesmas,Darul Imarah,"9,532,692","53,046",Aceh,Aceh Besar,Beroperasi,,,no_data
Puskesmas,Mon Keulayu,"9,636,483","522,753",Aceh,Bireuen,Beroperasi,,,invalid_coords
