label,nama,objectid,fid2,nama2,jenis,statusjln,nama_provinsi,nama_kabupaten,keterangan,dampak,status1,penanganan,target_selesai,bailey,latitude,longitude,baseline_sumber
Bts. Pidie – Meulaboh,f6c79c7b-1074-4c05-8a9d-0014c5d80b88,132,130,Bts. Pidie – Meulaboh,Jalan,Daerah,Aceh,Kab. Aceh Barat,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.142881448000026,96.12831431500001,BNPB/PU
Jl. Batas Aceh Selatan – Kuala Baru – Singkil – Telaga Bakti,608b442f-11c3-4931-9215-7e460fce876b,133,131,Jl. Batas Aceh Selatan – Kuala Baru – Singkil – Telaga Bakti,Jalan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.3494437930000345,97.71053555900005,BNPB/PU
Jl. Simpang Siomping – Keras – Batas Sumatera Utara,8ea1f63e-f2b8-4b0f-8931-63cf866ecb42,134,132,Jl. Simpang Siomping – Keras – Batas Sumatera Utara,Jalan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.4936707150000075,98.08253233200003,BNPB/PU
Jembatan Keude Jangka Buya,2c85e1b2-9cb7-41ad-8cc1-8fddceaf3f56,135,133,Jembatan Keude Jangka Buya,Jembatan,Daerah,Aceh,Kab. Pidie Jaya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.218475731000012,96.32540433500003,BNPB/PU
Jembatan Gantung Sawang,53582a13-0c52-4761-849f-702c6ca042a4,136,134,Jembatan Gantung Sawang,Jembatan,Daerah,Aceh,Kab. Aceh Utara,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.202859467000053,96.92521407700002,BNPB/PU
Jembatan Paya Dua Kec Banda Baro,dbcfcbf1-fe24-4f69-89e5-e39a5eb0c687,137,135,Jembatan Paya Dua Kec Banda Baro,Jembatan,Daerah,Aceh,Kab. Aceh Utara,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.227472044000024,96.99730040600002,BNPB/PU
Jembatan Lubuk Sidup,3e3d2a2a-77dc-4e57-a260-c06e1a0a79dd,138,136,Jembatan Lubuk Sidup,Jembatan,Daerah,Aceh,Kab. Aceh Tamiang,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.298753106000049,97.98835639200001,BNPB/PU
Jembatan STA. 7+000 (Tambahan),b363c81a-f79c-4b10-815e-cc210edc40a7,139,137,Jembatan STA. 7+000 (Tambahan),Jembatan,Daerah,Aceh,Kab. Bener Meriah,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.754366179000044,96.949525558,BNPB/PU
Jembatan Alur Balee Redelong,be0decb1-d3e3-4eaa-8b98-718fd9fc74b8,140,138,Jembatan Alur Balee Redelong,Jembatan,Daerah,Aceh,Kab. Bener Meriah,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.7425157300000365,96.85833896400004,BNPB/PU
Jembatan Gemboyah (Bailey),670c5103-17e9-4c2b-83af-641b561bd645,141,139,Jembatan Gemboyah (Bailey),Jembatan,Daerah,Aceh,Kab. Aceh Tengah,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.382889748000025,96.80147037200004,BNPB/PU
